Mon 8/26,"<a href=""static/docs/lesson_plans/8.26.19.pdf"">Introduction and Course Overview</a>",
Wed 8/28,"<a href=""static/docs/lesson_plans/8.28.19.pdf"">Introduce each other exercise, Establish Peer Review Guidelines</a>""",Intro essay due printed and brought to class
Fri 8/30,"<a href=""static/docs/lesson_plans/8.30.19.pdf""> Project 1 Intro and Brainstorm Activity</a>",
Mon 9/2,<b>Labor Day</b>,
Wed 9/4,Memories and Hope: Top College Essays,"Read <a href=""https://www.nytimes.com/interactive/2016/05/12/your-money/student-college-essays-about-money.html?mtrref=www.google.com&assetType=REGIWALL"">Top College Essays</a>"
Fri 9/6,"<a href=""static/docs/lesson_plans/9.6.19.pdf"">Writing in Scenes Activity</a>",
Mon 9/9,Shitty First Drafts Exercise,"<a href=""https://wrd.as.uky.edu/sites/default/files/1-Shitty%20First%20Drafts.pdf"">Read ""Shitty First Drafts""</a>"
Wed 9/11,"In Immigrating from Japan I Lost Language, Home, and Pokemon","<a href=""https://catapult.co/stories/immigration-japan-america-pokemon-mistranslate-nina-coomes"">Read In Immigrating from home…</a>"
Fri 9/13,Peer Review of Project 1,Project 1 Draft Due
Mon 9/16,What the Heck is Genre?,
Wed 9/18,"Set, Jump, Release","<a href=""https://www.theindy.org/462"">Read Set, Jump, Release </a>"
Fri 9/20,Project 2 Intro Activity and Conference Signups,Project 1 Due
Mon 9/23,<b>Conferences</b>,
Wed 9/25,<b>Conferences</b>,
Fri 9/27,<b>Conferences</b>,
Mon 9/30,Conducting Research Activity,Read Understanding Rhetoric Issue 6: Research
Wed 10/2,"Defining Rhetoric: Logos, Pathos, Ethos, Kairos",Read Understanding Rhetoric Issue 1: Why Rhetoric? 
Fri 10/4,<b>Fall Break</b>,
Mon 10/7,Outlining: Top-Up vs Bottom-Down Planning,
Wed 10/9,Profile Of Jonny Sun,"<a href=""https://www.nytimes.com/2017/06/15/magazine/a-whimsical-wordsmith-charts-a-course-beyond-twitter.html"">Read Jonny Sun profile</a>"
Fri 10/11,Peer Review of Project 2,Project 2 Draft Due
Mon 10/14,Grammar Day,
Wed 10/16,Even Artichokes Have Doubts By Marina Keegan,"Read <a href=""https://yaledailynews.com/blog/2011/09/30/even-artichokes-have-doubts/"">Even Artichokes Have Doubts</a>"
Fri 10/18,Project 3 Introduction,Project 2 Due
Mon 10/21,Network of Sources Activity,
Wed 10/23,Multimedia Reading,"Read <a href=""https://pudding.cool/2018/02/stand-up/"">The Structure of Standup Comedy</a> and <a href=""https://www.nytimes.com/interactive/2017/11/21/world/asia/afghanistan-soccer-fans.html"">Afghanistan Soccer Fans</a>"
Fri 10/25,Collaboration Day,
Mon 10/28,Intro to Adobe Spark,
Wed 10/30,Multimedia Academia,"Spend 1 hour Reading <a href=""http://1884.ucsd.edu"">Utopian Dystopian American Dream</a>"
Fri 11/1,Setting up your Site in Google Sites,Project 3 Partial Draft 1 Due
Mon 11/4,Intro to Garageband/Audacity,
Wed 11/6,Listen to Malcolm Gladwell's Food Fight,"Listen to Gladwell's <a href=""http://revisionisthistory.com/episodes/05-food-fight"">Food Fight</a>"
Fri 11/8,Peer Review of Project 3 and Conference Signup,Project 3 Partial Draft 2 Due
Mon 11/11,<b>Conferences</b>,
Wed 11/13,<b>Conferences</b>,
Fri 11/15,<b>Conferences</b>,
Mon 11/18,Radical Revision Exercise,
Wed 11/20,Life Without Power,"<a href=""https://www.washingtonpost.com/graphics/2017/national/puerto-rico-life-without-power/"">Read Life Without Power</a>"
Fri 11/22,Projects Remix Activity and Intro Proj 4,Project 3 Due
Mon 11/25,<b>Thanksgiving break</b>,
Wed 11/27,<b>Thanksgiving break</b>,
Fri 11/29,<b>Thanksgiving break</b>,
Mon 12/2,"Rapid Fire: Improv Speeches, Outlining, Transcripts, and Slides",
Wed 12/4,Oral Presentation Workshop,Draft of Oral Presentation (In whatever form you'd like)
Fri 12/6,<b>Oral Presentations Part 1</b>,Oral Presentation (Group 1)
Mon 12/9,<b>Oral Presentations Part 2</b>,Oral Presentation (Group 2)
Wed 12/11,Reflection on Course and Pizza Party(????),
